analysis_type,outcome,bandwidth,se_type,cluster_spec,n_clusters_left,n_clusters_right,n_window,n_left,n_right,mean_left,mean_right,tau,se,ci95_low,ci95_high,p_value,outcome_family,definition
comparison,runs_next_string_any_prv,0.025,cluster_prv_election_party,cluster_prv_election_party,536,360,916,544,372,0.3492647058823529,0.6129032258064516,0.3257907567178183,0.07336258222118347,0.18179326047811653,0.46978825295752014,1.0170169860490574e-05,runs,string_any_prv
comparison,runs_next_string_any_prv,0.05,cluster_prv_election_party,cluster_prv_election_party,1138,637,2118,1394,724,0.33428981348637016,0.6174033149171271,0.2691050780280386,0.05094499883219389,0.1692528803169386,0.3689572757391386,1.2759516931915016e-07,runs,string_any_prv
comparison,runs_next_string_any_prv,0.075,cluster_prv_election_party,cluster_prv_election_party,2197,819,3785,2761,1024,0.3147410358565737,0.609375,0.27089229395737346,0.040233951763996335,0.19203374849994065,0.3497508394148063,1.662825432902082e-11,runs,string_any_prv
comparison,runs_next_string_any_prv,0.1,cluster_prv_election_party,cluster_prv_election_party,3014,932,5369,4070,1299,0.30933660933660934,0.6089299461123941,0.2768182837917814,0.03446054560220429,0.20927561441146103,0.3443609531721018,8.881784197001252e-16,runs,string_any_prv
comparison,runs_next_string_same_prv,0.025,cluster_prv_election_party,cluster_prv_election_party,536,360,916,544,372,0.3272058823529412,0.5994623655913979,0.34853349100398096,0.07281519339865183,0.20561042013928177,0.49145656186868014,2.007634050782414e-06,runs,string_same_prv
comparison,runs_next_string_same_prv,0.05,cluster_prv_election_party,cluster_prv_election_party,1138,637,2118,1394,724,0.3098995695839311,0.5953038674033149,0.2832825771741816,0.05093889792975716,0.18344233723185757,0.38312281711650564,2.6789042761876658e-08,runs,string_same_prv
comparison,runs_next_string_same_prv,0.075,cluster_prv_election_party,cluster_prv_election_party,2197,819,3785,2761,1024,0.28866352770735243,0.58984375,0.27402000447532954,0.040138094455773037,0.19534933934201437,0.3526906696086447,8.675060669816048e-12,runs,string_same_prv
comparison,runs_next_string_same_prv,0.1,cluster_prv_election_party,cluster_prv_election_party,3014,932,5369,4070,1299,0.2791154791154791,0.5896843725943033,0.2737138081073101,0.03417795318085322,0.2067250198728378,0.3407025963417824,1.1102230246251565e-15,runs,string_same_prv
comparison,wins_next_any_prv,0.025,cluster_prv_election_party,cluster_prv_election_party,536,360,916,544,372,0.0900735294117647,0.3709677419354839,0.18097903085048284,0.06702058137543505,0.049429736613601866,0.31252832508736383,0.007067382832333768,wins,person_any_prv
comparison,wins_next_any_prv,0.05,cluster_prv_election_party,cluster_prv_election_party,1138,637,2118,1394,724,0.058823529411764705,0.4171270718232044,0.18873852919082884,0.0459978529220317,0.09858273746364671,0.278894320918011,4.074693866118473e-05,wins,person_any_prv
comparison,wins_next_any_prv,0.075,cluster_prv_election_party,cluster_prv_election_party,2197,819,3785,2761,1024,0.0373053241579138,0.4443359375,0.21101947939572296,0.035855882014697506,0.14074195064691586,0.28129700814453007,3.975432649738764e-09,wins,person_any_prv
comparison,wins_next_any_prv,0.1,cluster_prv_election_party,cluster_prv_election_party,3014,932,5369,4070,1299,0.02800982800982801,0.45958429561200925,0.24499293982631648,0.030343395721798765,0.1855198842115909,0.3044659954410421,6.661338147750939e-16,wins,person_any_prv
comparison,wins_next_same_prv,0.025,cluster_prv_election_party,cluster_prv_election_party,536,360,916,544,372,0.08639705882352941,0.3602150537634409,0.18342710091868292,0.06555669214391133,0.054751156797479994,0.31210304503988584,0.0052609571051434045,wins,person_same_prv
comparison,wins_next_same_prv,0.05,cluster_prv_election_party,cluster_prv_election_party,1138,637,2118,1394,724,0.05595408895265423,0.40193370165745856,0.18558635925104103,0.04538696323740273,0.09662791130573167,0.2745448071963504,4.332752612512536e-05,wins,person_same_prv
comparison,wins_next_same_prv,0.075,cluster_prv_election_party,cluster_prv_election_party,2197,819,3785,2761,1024,0.03513219847881202,0.4296875,0.2028398002029761,0.03533305295824233,0.13358701640482112,0.27209258400113107,9.42333233666659e-09,wins,person_same_prv
comparison,wins_next_same_prv,0.1,cluster_prv_election_party,cluster_prv_election_party,3014,932,5369,4070,1299,0.026535626535626536,0.4449576597382602,0.23517305690548745,0.02983634642885996,0.17669381790492195,0.29365229590605296,3.1086244689504383e-15,wins,person_same_prv
comparison,wins_next_string_any_prv,0.025,cluster_prv_election_party,cluster_prv_election_party,536,360,916,544,372,0.0900735294117647,0.3682795698924731,0.18270910158035655,0.06699905918245923,0.05120205152038804,0.31421615164032507,0.006525064631418109,wins,string_any_prv
