bin_idx,bandwidth,bin_left,bin_right,bin_center,bin_width,side,count,share,density,plot_bin,bin_in_side,count_ratio_near0,count_ratio_near0_add05,log_count_ratio_near0_add05,formal_test_feasible,log_density_jump,log_density_jump_se,log_density_jump_p_value,implied_density_ratio_at_cutoff
6,0.075,-0.045,-0.039999999999999994,-0.042499999999999996,0.005,left,287,0.06729191090269637,13.458382180539274,-9,6,0.8958333333333334,0.8963730569948186,-0.10939859440710664,1,0.04429803924365672,0.1766997279010054,0.8020486097570034,1.0452938470552684
7,0.075,-0.039999999999999994,-0.034999999999999996,-0.03749999999999999,0.005,left,209,0.04900351699882767,9.800703399765533,-8,7,0.8958333333333334,0.8963730569948186,-0.10939859440710664,1,0.04429803924365672,0.1766997279010054,0.8020486097570034,1.0452938470552684
8,0.075,-0.034999999999999996,-0.03,-0.0325,0.005,left,120,0.02813599062133646,5.627198124267292,-7,8,0.8958333333333334,0.8963730569948186,-0.10939859440710664,1,0.04429803924365672,0.1766997279010054,0.8020486097570034,1.0452938470552684
9,0.075,-0.03,-0.024999999999999994,-0.027499999999999997,0.005,left,106,0.02485345838218054,4.970691676436108,-6,9,0.8958333333333334,0.8963730569948186,-0.10939859440710664,1,0.04429803924365672,0.1766997279010054,0.8020486097570034,1.0452938470552684
10,0.075,-0.024999999999999994,-0.019999999999999997,-0.022499999999999996,0.005,left,234,0.0548651817116061,10.973036342321219,-5,10,0.8958333333333334,0.8963730569948186,-0.10939859440710664,1,0.04429803924365672,0.1766997279010054,0.8020486097570034,1.0452938470552684
11,0.075,-0.019999999999999997,-0.015,-0.017499999999999998,0.005,left,111,0.026025791324736224,5.205158264947245,-4,11,0.8958333333333334,0.8963730569948186,-0.10939859440710664,1,0.04429803924365672,0.1766997279010054,0.8020486097570034,1.0452938470552684
12,0.075,-0.015,-0.009999999999999995,-0.012499999999999997,0.005,left,97,0.022743259085580305,4.5486518171160615,-3,12,0.8958333333333334,0.8963730569948186,-0.10939859440710664,1,0.04429803924365672,0.1766997279010054,0.8020486097570034,1.0452938470552684
13,0.075,-0.009999999999999995,-0.0049999999999999906,-0.007499999999999993,0.005,left,78,0.0182883939038687,3.6576787807737396,-2,13,0.8958333333333334,0.8963730569948186,-0.10939859440710664,1,0.04429803924365672,0.1766997279010054,0.8020486097570034,1.0452938470552684
14,0.075,-0.0049999999999999906,0.0,-0.0024999999999999953,0.005,left,96,0.022508792497069167,4.5017584994138335,-1,14,0.8958333333333334,0.8963730569948186,-0.10939859440710664,1,0.04429803924365672,0.1766997279010054,0.8020486097570034,1.0452938470552684
15,0.075,0.0,0.0050000000000000044,0.0025000000000000022,0.005,right,86,0.020164126611957794,4.0328253223915596,1,0,0.8958333333333334,0.8963730569948186,-0.10939859440710664,1,0.04429803924365672,0.1766997279010054,0.8020486097570034,1.0452938470552684
