sharp_analysis_type,outcome,bandwidth,se_type,cluster_spec,n_clusters_left,n_clusters_right,n_window,n_left,n_right,mean_left,mean_right,sharp_tau,sharp_se,sharp_ci95_low,sharp_ci95_high,sharp_p_value,first_stage_tau,first_stage_se,first_stage_p_value,reduced_form_tau,reduced_form_se,reduced_form_p_value,fuzzy_tau,fuzzy_se,fuzzy_ci95_low,fuzzy_ci95_high,fuzzy_p_value,weak_first_stage_flag,sharp_minus_fuzzy
main,runs_next,0.075,hc1,none,0,0,3785,2761,1024,0.28902571532053606,0.5908203125,0.27665363012963656,0.04133213402809475,0.19564264743457085,0.3576646128247023,2.1800339311539574e-11,0.9812408766740232,0.007954586491548296,0.0,0.27665363012963656,0.04133213402809475,2.1800339311539574e-11,0.28194262663350433,0.042184276306290666,0.19926144507317461,0.36462380819383405,2.3315127606338137e-11,0,-0.005288996503867771
main,runs_next,0.1,hc1,none,0,0,5369,4070,1299,0.2793611793611794,0.590454195535027,0.2759948763447498,0.035255339562010615,0.20689441080320897,0.3450953418862906,4.884981308350689e-15,0.9835653713822055,0.006392664119886995,0.0,0.2759948763447498,0.035255339562010615,4.884981308350689e-15,0.28060654062768997,0.035890797666993955,0.21026057720038183,0.3509525040549981,5.329070518200751e-15,0,-0.004611664282940187
main,wins_next,0.025,cluster_prv_election,cluster_prv_election,194,209,916,544,372,0.08639705882352941,0.3602150537634409,0.18342710091868292,0.06583558888215765,0.05370615215095645,0.3131480496864094,0.005781097501317944,0.9788688296609435,0.015844274043763772,0.0,0.18342710091868292,0.06583558888215765,0.005781097501317944,0.18738680338020125,0.06732516146490178,0.05542948690899377,0.31934411985140876,0.005380734721329272,0,-0.003959702461518333
main,wins_next,0.05,cluster_prv_election,cluster_prv_election,282,287,2118,1394,724,0.05595408895265423,0.40193370165745856,0.18558635925104103,0.046874289095813454,0.09334600360331491,0.27782671489876715,9.375712173986805e-05,0.9787664656774033,0.014511512354023932,0.0,0.18558635925104103,0.046874289095813454,9.375712173986805e-05,0.18961250283804615,0.04797362902615938,0.09558418994677377,0.28364081572931854,7.736094155164075e-05,0,-0.004026143587005121
main,wins_next,0.075,cluster_prv_election,cluster_prv_election,318,323,3785,2761,1024,0.03513219847881202,0.4296875,0.2028398002029761,0.03673041902688078,0.13058369479331944,0.27509590561263275,6.799267748824889e-08,0.9812408766740232,0.011166723368606689,0.0,0.2028398002029761,0.03673041902688078,6.799267748824889e-08,0.20671764194181777,0.037506471590935155,0.13320495762358486,0.2802303262600507,3.557494165917774e-08,0,-0.0038778417388416753
main,wins_next,0.1,cluster_prv_election,cluster_prv_election,332,339,5369,4070,1299,0.026535626535626536,0.4449576597382602,0.23517305690548745,0.03175730215062651,0.17270687354239128,0.2976392402685836,1.0458300891968975e-12,0.9835653713822055,0.00934782779426533,0.0,0.23517305690548745,0.03175730215062651,1.0458300891968975e-12,0.2391026196611604,0.03236781116145605,0.17566170978470652,0.30254352953761426,1.5010215292932116e-13,0,-0.0039295627556729384
main,wins_next,0.025,cluster_prv_election_party,cluster_prv_election_party,536,360,916,544,372,0.08639705882352941,0.3602150537634409,0.18342710091868292,0.06555669214391133,0.054751156797480105,0.31210304503988573,0.0052609571051434045,0.9788688296609435,0.012794493552886844,0.0,0.18342710091868292,0.06555669214391133,0.0052609571051434045,0.18738680338020125,0.06701665859234215,0.056034152539210624,0.3187394542211919,0.005171975346860647,0,-0.003959702461518333
main,wins_next,0.05,cluster_prv_election_party,cluster_prv_election_party,1138,637,2118,1394,724,0.05595408895265423,0.40193370165745856,0.18558635925104103,0.04538696323740273,0.09662791130573167,0.2745448071963504,4.332752612512536e-05,0.9787664656774033,0.012577648409547854,0.0,0.18558635925104103,0.04538696323740273,4.332752612512536e-05,0.18961250283804615,0.04643556859333576,0.09859878839510806,0.28062621728098425,4.439181199544784e-05,0,-0.004026143587005121
main,wins_next,0.075,cluster_prv_election_party,cluster_prv_election_party,2197,819,3785,2761,1024,0.03513219847881202,0.4296875,0.2028398002029761,0.03533305295824233,0.13358701640482112,0.27209258400113107,9.42333233666659e-09,0.9812408766740232,0.009929731903530007,0.0,0.2028398002029761,0.03533305295824233,9.42333233666659e-09,0.20671764194181777,0.036069254027234314,0.1360219040484385,0.27741337983519704,9.976282022705618e-09,0,-0.0038778417388416753
main,wins_next,0.1,cluster_prv_election_party,cluster_prv_election_party,3014,932,5369,4070,1299,0.026535626535626536,0.4449576597382602,0.23517305690548745,0.02983634642885996,0.17669381790492195,0.29365229590605296,3.1086244689504383e-15,0.9835653713822055,0.008214709300559047,0.0,0.23517305690548745,0.02983634642885996,3.1086244689504383e-15,0.2391026196611604,0.03040054960249804,0.17951754244026424,0.29868769688205654,3.774758283725532e-15,0,-0.0039295627556729384
main,wins_next,0.025,hc1,none,0,0,916,544,372,0.08639705882352941,0.3602150537634409,0.18342710091868292,0.06555156831211202,0.054946027026943345,0.3119081748104225,0.005138657698430471,0.9788688296609435,0.012776698756945625,0.0,0.18342710091868292,0.06555156831211202,0.005138657698430471,0.18738680338020125,0.0670113032266906,0.05604464905588766,0.3187289577045148,0.0051684003234653275,0,-0.003959702461518333
main,wins_next,0.05,hc1,none,0,0,2118,1394,724,0.05595408895265423,0.40193370165745856,0.18558635925104103,0.045800108221923416,0.09581814713607113,0.27535457136601094,5.076118785196648e-05,0.9787664656774033,0.010400771880033568,0.0,0.18558635925104103,0.045800108221923416,5.076118785196648e-05,0.18961250283804615,0.046837063847103365,0.09781185769772356,0.28141314797836875,5.158150142792195e-05,0,-0.004026143587005121
main,wins_next,0.075,hc1,none,0,0,3785,2761,1024,0.03513219847881202,0.4296875,0.2028398002029761,0.036386617164883006,0.1315220305598054,0.2741575698461468,2.4813983090510305e-08,0.9812408766740232,0.007954586491548296,0.0,0.2028398002029761,0.036386617164883006,2.4813983090510305e-08,0.20671764194181777,0.03712009374700315,0.13396225819769159,0.27947302568594395,2.563703094260461e-08,0,-0.0038778417388416753
main,wins_next,0.1,hc1,none,0,0,5369,4070,1299,0.026535626535626536,0.4449576597382602,0.23517305690548745,0.031004117973805933,0.17440498567682783,0.2959411281341471,3.3084646133829665e-14,0.9835653713822055,0.006392664119886995,0.0,0.23517305690548745,0.031004117973805933,3.3084646133829665e-14,0.2391026196611604,0.03156045708465952,0.17724412377522775,0.30096111554709304,3.552713678800501e-14,0,-0.0039295627556729384
