analysis_type,outcome,bandwidth,se_type,cluster_spec,n_clusters_left,n_clusters_right,n_window,n_left,n_right,mean_left,mean_right,tau,se,ci95_low,ci95_high,p_value,subgroup,median_seats
heterogeneity_high_magnitude,runs_next,0.075,hc1,none,0,0,2402,1876,526,0.2777185501066098,0.5931558935361216,0.25926764819956305,0.05622646564364348,0.14906377553802183,0.36947152086110424,4.0048235405709676e-06,high_magnitude,8.0
heterogeneity_high_magnitude,runs_next,0.1,hc1,none,0,0,3055,2383,672,0.2706672261854805,0.6026785714285714,0.25293984946940773,0.04829871398791385,0.15827437005309658,0.3476053288857189,1.632171306997776e-07,high_magnitude,8.0
heterogeneity_high_magnitude,wins_next,0.025,cluster_prv_election,cluster_prv_election,75,70,548,361,187,0.07479224376731301,0.34759358288770054,0.09527942287431053,0.09331758638087076,-0.0904284923420124,0.2809873380906335,0.31032117269858794,high_magnitude,8.0
heterogeneity_high_magnitude,wins_next,0.05,cluster_prv_election,cluster_prv_election,88,86,1344,975,369,0.046153846153846156,0.4092140921409214,0.13687828956806852,0.06579114109790649,0.006132221668521565,0.2676243574676155,0.040387286845998016,high_magnitude,8.0
heterogeneity_high_magnitude,wins_next,0.075,cluster_prv_election,cluster_prv_election,89,89,2402,1876,526,0.028251599147121536,0.4391634980988593,0.1787544497680898,0.050229682955201235,0.07893350991753545,0.27857538961864414,0.0006032243329874287,high_magnitude,8.0
heterogeneity_high_magnitude,wins_next,0.1,cluster_prv_election,cluster_prv_election,89,89,3055,2383,672,0.023919429290809903,0.46577380952380953,0.22191191830086993,0.044488162718763914,0.13350104342491054,0.3103227931768293,3.041172830897665e-06,high_magnitude,8.0
heterogeneity_high_magnitude,wins_next,0.025,cluster_prv_election_party,cluster_prv_election_party,353,175,548,361,187,0.07479224376731301,0.34759358288770054,0.09527942287431053,0.09590390176394754,-0.09318035372310592,0.283739199471727,0.32098975919789674,high_magnitude,8.0
heterogeneity_high_magnitude,wins_next,0.05,cluster_prv_election_party,cluster_prv_election_party,719,282,1344,975,369,0.046153846153846156,0.4092140921409214,0.13687828956806852,0.06193815795926449,0.015298477816307457,0.2584581013198296,0.027392190761278634,high_magnitude,8.0
heterogeneity_high_magnitude,wins_next,0.075,cluster_prv_election_party,cluster_prv_election_party,1314,325,2402,1876,526,0.028251599147121536,0.4391634980988593,0.1787544497680898,0.04643077012551963,0.08775014032207132,0.2697587592141083,0.00011815953581040262,high_magnitude,8.0
heterogeneity_high_magnitude,wins_next,0.1,cluster_prv_election_party,cluster_prv_election_party,1352,340,3055,2383,672,0.023919429290809903,0.46577380952380953,0.22191191830086993,0.039183395691636924,0.14511246274526157,0.2987113738564783,1.4838776207781734e-08,high_magnitude,8.0
heterogeneity_high_magnitude,wins_next,0.025,hc1,none,0,0,548,361,187,0.07479224376731301,0.34759358288770054,0.09527942287431053,0.0957963777084252,-0.09248147743420286,0.2830403231828239,0.31992909217478305,high_magnitude,8.0
heterogeneity_high_magnitude,wins_next,0.05,hc1,none,0,0,1344,975,369,0.046153846153846156,0.4092140921409214,0.13687828956806852,0.0631292677614793,0.013144924755569096,0.26061165438056794,0.0301417727785549,high_magnitude,8.0
heterogeneity_high_magnitude,wins_next,0.075,hc1,none,0,0,2402,1876,526,0.028251599147121536,0.4391634980988593,0.1787544497680898,0.049548843299788696,0.08163871690050395,0.27587018263567564,0.0003089933573330317,high_magnitude,8.0
heterogeneity_high_magnitude,wins_next,0.1,hc1,none,0,0,3055,2383,672,0.023919429290809903,0.46577380952380953,0.22191191830086993,0.042427125424023354,0.13875475246978414,0.3050690841319557,1.6912033129479198e-07,high_magnitude,8.0
heterogeneity_low_magnitude,runs_next,0.025,cluster_prv_election,cluster_prv_election,119,139,368,183,185,0.34972677595628415,0.6270270270270271,0.33553064444481057,0.09228029274892208,0.15317348222640434,0.5178878066632168,0.0003815303018079863,low_magnitude,8.0
heterogeneity_low_magnitude,runs_next,0.05,cluster_prv_election,cluster_prv_election,194,201,774,419,355,0.3221957040572792,0.5971830985915493,0.30737718878257836,0.07025107221575513,0.16890450947525595,0.4458498680899008,1.8937373625682596e-05,low_magnitude,8.0
heterogeneity_low_magnitude,runs_next,0.075,cluster_prv_election,cluster_prv_election,229,234,1383,885,498,0.3129943502824859,0.5883534136546185,0.2913076849839336,0.056291668386510785,0.18041886055482464,0.4021965094130426,4.815326102303175e-07,low_magnitude,8.0
heterogeneity_low_magnitude,runs_next,0.1,cluster_prv_election,cluster_prv_election,243,250,2314,1687,627,0.2916419679905157,0.5773524720893142,0.29031866515316157,0.04794370967767532,0.19589360596832983,0.3847437243379933,5.106696621126616e-09,low_magnitude,8.0
heterogeneity_low_magnitude,runs_next,0.025,cluster_prv_election_party,cluster_prv_election_party,183,185,368,183,185,0.34972677595628415,0.6270270270270271,0.33553064444481057,0.10733713637926635,0.12445764571164036,0.5466036431779808,0.0019135719026015519,low_magnitude,8.0
heterogeneity_low_magnitude,runs_next,0.05,cluster_prv_election_party,cluster_prv_election_party,419,355,774,419,355,0.3221957040572792,0.5971830985915493,0.30737718878257836,0.07745898699474695,0.15530995372717812,0.45944442383797857,7.949884153402031e-05,low_magnitude,8.0
heterogeneity_low_magnitude,runs_next,0.075,cluster_prv_election_party,cluster_prv_election_party,883,494,1383,885,498,0.3129943502824859,0.5883534136546185,0.2913076849839336,0.062255967149453646,0.16928598937100447,0.41332938059686275,2.880062599963651e-06,low_magnitude,8.0
heterogeneity_low_magnitude,runs_next,0.1,cluster_prv_election_party,cluster_prv_election_party,1662,592,2314,1687,627,0.2916419679905157,0.5773524720893142,0.29031866515316157,0.0530886447569124,0.18626492142961326,0.3943724088767099,4.536955899858697e-08,low_magnitude,8.0
heterogeneity_low_magnitude,runs_next,0.025,hc1,none,0,0,368,183,185,0.34972677595628415,0.6270270270270271,0.33553064444481057,0.10733713637926642,0.12514985714144838,0.5459114317481728,0.0017723099192192837,low_magnitude,8.0
heterogeneity_low_magnitude,runs_next,0.05,hc1,none,0,0,774,419,355,0.3221957040572792,0.5971830985915493,0.30737718878257836,0.07745244793314164,0.15557039083362076,0.45918398673153593,7.229845272371804e-05,low_magnitude,8.0
