candidate,person_id,person_id_source,election_ym,prv_code,p_code,list_pos
maria nieves perez neel,pid_exact_0022128,person_id_map,200403,3,24,2
juan bautista nadal gisbert,pid_exact_0015319,person_id_map,200403,3,24,3
jose ricardo iborra iborra,pid_exact_0014707,person_id_map,200403,3,24,4
milagros barrull giner,pid_exact_0024250,person_id_map,200403,3,24,5
angel mengual camps,pid_exact_0002436,person_id_map,200403,3,24,6
julio vicedo botella,pid_exact_0016521,person_id_map,200403,3,24,7
pedro ruiz hurtas,pid_exact_0026177,person_id_map,200403,3,24,8
basilia del carmen perez berengur,pid_exact_0003755,person_id_map,200403,3,24,9
antonio fernandez varo,pid_exact_0002953,person_id_map,200403,3,24,10
ricardo iborra perez,pid_exact_0027234,person_id_map,200403,3,24,11
migul angel cabrera lungo,pid_exact_0023802,person_id_map,200403,3,25,1
maria del carmen martin perez,pid_exact_0019947,person_id_map,200403,3,25,2
susana cabrera lungo,pid_exact_0029050,person_id_map,200403,3,25,3
pascual patino hernandez,pid_exact_0025675,person_id_map,200403,3,25,4
eva serrano bailen,pid_exact_0008007,person_id_map,200403,3,25,5
silvia martin perez,pid_exact_0028808,person_id_map,200403,3,25,6
encarnacion martinez marote,pid_exact_0007275,person_id_map,200403,3,25,7
maria del carmen cabrera lungo,pid_exact_0019819,person_id_map,200403,3,25,8
oscar dwight nunez del prado cabrera,pid_exact_0025314,person_id_map,200403,3,25,9
maria elena mas civera,pid_exact_0020726,person_id_map,200403,3,25,10
alberto carlos vaqura arribas,pid_exact_0000525,person_id_map,200403,3,25,11
pablo quintana garcia,pid_exact_0025564,person_id_map,200403,3,34,1
luis rodriguz mate,pid_exact_0017623,person_id_map,200403,3,34,2
joaquin gimenez soriano,pid_exact_0012507,person_id_map,200403,3,34,3
ernesto mila rodriguz,pid_exact_0007566,person_id_map,200403,3,34,4
migul angel pastor such,pid_exact_0023933,person_id_map,200403,3,34,5
jose migul sevilla ato,pid_exact_0014555,person_id_map,200403,3,34,6
ana rosalia arjones bastos,pid_exact_0002031,person_id_map,200403,3,34,7
diego ramon del castillo gomez,pid_exact_0006407,person_id_map,200403,3,34,8
roberto san martin lillo,pid_exact_0027371,person_id_map,200403,3,34,9
moises moyano pozon,pid_exact_0024463,person_id_map,200403,3,34,10
enriqu ramon munoz sala,pid_exact_0007483,person_id_map,200403,3,34,11
francisco jose lifante martinez,pid_exact_0009275,person_id_map,200403,3,40,1
maria susana sanchez navarro,pid_exact_0022652,person_id_map,200403,3,40,2
lluis torro i gil,pid_exact_0017042,person_id_map,200403,3,40,3
bienvenida campillo lorca,pid_exact_0004071,person_id_map,200403,3,40,4
evaristo paya perez,pid_exact_0008027,person_id_map,200403,3,40,5
maria carmen aranda lopez,pid_exact_0019259,person_id_map,200403,3,40,6
victor camara merino,pid_exact_0029805,person_id_map,200403,3,40,7
rebeca albadalejo manzano,pid_exact_0027113,person_id_map,200403,3,40,8
jose luis carrillo reche,pid_exact_0013852,person_id_map,200403,3,40,9
josefina dominguz reig,pid_exact_0014953,person_id_map,200403,3,40,10
pasqual molla martinez,pid_exact_0025684,person_id_map,200403,3,40,11
josep julia jimenez garcia,pid_exact_0015020,person_id_map,200403,3,42,1
salvador cervera reus,pid_exact_0028038,person_id_map,200403,3,42,2
maria elia navarro monerris,pid_exact_0020760,person_id_map,200403,3,42,3
josep joaquim perucho i tormo,pid_exact_0015018,person_id_map,200403,3,42,4
salvador sendra perello,pid_exact_0028107,person_id_map,200403,3,42,5
lorena miralles abad,pid_exact_0017086,person_id_map,200403,3,42,6
maria remedios tortosa canizares,pid_exact_0022400,person_id_map,200403,3,42,7
joan eduard andreu i raigal,pid_exact_0012323,person_id_map,200403,3,42,8
vicent castello sanjuan,pid_exact_0029649,person_id_map,200403,3,42,9
evangelina garcia macia,pid_exact_0008018,person_id_map,200403,3,42,10
pere joan ferrer i argudo,pid_exact_0026232,person_id_map,200403,3,42,11
fernando carmelo gadea santana,pid_exact_0008311,person_id_map,200403,3,43,1
maria julia lobato molledo,pid_exact_0021643,person_id_map,200403,3,43,2
rosa maria sola grech,pid_exact_0027735,person_id_map,200403,3,43,3
