election_ym,prv_code,eligible_voters,province_name,source_file
202307,19,196983,Guadalajara,PROV_02_202307_1 2.xlsx
202307,20,585873,Gipuzkoa,PROV_02_202307_1 2.xlsx
202307,21,402504,Huelva,PROV_02_202307_1 2.xlsx
202307,22,173391,Huesca,PROV_02_202307_1 2.xlsx
202307,23,518371,Jaén,PROV_02_202307_1 2.xlsx
202307,24,422917,León,PROV_02_202307_1 2.xlsx
202307,25,317225,Lleida,PROV_02_202307_1 2.xlsx
202307,26,252091,La Rioja,PROV_02_202307_1 2.xlsx
202307,27,337755,Lugo,PROV_02_202307_1 2.xlsx
202307,28,5224561,Madrid,PROV_02_202307_1 2.xlsx
202307,29,1239846,Málaga,PROV_02_202307_1 2.xlsx
202307,30,1099703,Murcia,PROV_02_202307_1 2.xlsx
202307,31,519918,Navarra,PROV_02_202307_1 2.xlsx
202307,32,355765,Ourense,PROV_02_202307_1 2.xlsx
202307,33,959023,Asturias,PROV_02_202307_1 2.xlsx
202307,34,137642,Palencia,PROV_02_202307_1 2.xlsx
202307,35,898882,Las Palmas,PROV_02_202307_1 2.xlsx
202307,36,909434,Pontevedra,PROV_02_202307_1 2.xlsx
202307,37,300506,Salamanca,PROV_02_202307_1 2.xlsx
202307,38,881217,Santa Cruz de Tenerife,PROV_02_202307_1 2.xlsx
202307,39,507818,Cantabria,PROV_02_202307_1 2.xlsx
202307,40,119454,Segovia,PROV_02_202307_1 2.xlsx
202307,41,1564082,Sevilla,PROV_02_202307_1 2.xlsx
202307,42,75768,Soria,PROV_02_202307_1 2.xlsx
202307,43,596689,Tarragona,PROV_02_202307_1 2.xlsx
202307,44,106352,Teruel,PROV_02_202307_1 2.xlsx
202307,45,542567,Toledo,PROV_02_202307_1 2.xlsx
202307,46,1999340,València/Valencia,PROV_02_202307_1 2.xlsx
202307,47,431381,Valladolid,PROV_02_202307_1 2.xlsx
202307,48,942983,Bizkaia,PROV_02_202307_1 2.xlsx
202307,49,162998,Zamora,PROV_02_202307_1 2.xlsx
202307,50,740060,Zaragoza,PROV_02_202307_1 2.xlsx
202307,51,63310,Ceuta,PROV_02_202307_1 2.xlsx
202307,52,61118,Melilla,PROV_02_202307_1 2.xlsx
