analysis_type,outcome,bandwidth,se_type,cluster_spec,n_clusters_left,n_clusters_right,n_window,n_left,n_right,mean_left,mean_right,tau,se,ci95_low,ci95_high,p_value,donut_radius
donut_hole,runs_next,0.075,cluster_prv_election_party,cluster_prv_election_party,2189,812,3758,2747,1011,0.2890425919184565,0.5895153313550939,0.26792163682824194,0.04119020074578312,0.18718884336650704,0.34865443028997684,7.795253331721597e-11,0.001
donut_hole,runs_next,0.075,cluster_prv_election_party,cluster_prv_election_party,2176,797,3717,2727,990,0.29006233956729005,0.5858585858585859,0.23232484334886364,0.04316289176373607,0.14772557549194093,0.31692411120578634,7.345290642390978e-08,0.0025
donut_hole,runs_next,0.075,cluster_prv_election_party,cluster_prv_election_party,2151,772,3630,2680,950,0.2880597014925373,0.5842105263157895,0.23416212698074182,0.0460281322649363,0.14394698774146666,0.32437726622001695,3.6306359829652024e-07,0.005
donut_hole,runs_next,0.1,cluster_prv_election_party,cluster_prv_election_party,3008,925,5342,4056,1286,0.27933925049309666,0.5894245723172629,0.26960077610757355,0.034884380091481225,0.20122739112827034,0.3379741610868767,1.0880185641326534e-14,0.001
donut_hole,runs_next,0.1,cluster_prv_election_party,cluster_prv_election_party,2996,912,5301,4036,1265,0.27998017839444994,0.5865612648221344,0.24442205150346688,0.03609025052932353,0.17368516046599275,0.315158942540941,1.2655654302307084e-11,0.0025
donut_hole,runs_next,0.1,cluster_prv_election_party,cluster_prv_election_party,2974,891,5214,3989,1225,0.27851591877663573,0.5853061224489796,0.24668211298666035,0.03769382075718996,0.17280222430256803,0.32056200167075266,5.974887251625205e-11,0.005
donut_hole,runs_next,0.025,hc1,none,0,0,889,530,359,0.3283018867924528,0.5988857938718662,0.3313985088336746,0.07891520528527497,0.17672470647453567,0.4860723111928136,2.675933021234478e-05,0.001
donut_hole,runs_next,0.025,hc1,none,0,0,848,510,338,0.3352941176470588,0.5887573964497042,0.21117774409019063,0.0925971393514409,0.029687350961366488,0.3926681372190148,0.022571674396851815,0.0025
donut_hole,runs_next,0.025,hc1,none,0,0,761,463,298,0.3282937365010799,0.5838926174496645,0.21571267040009273,0.12024058471929285,-0.019958875649721236,0.4513842164499067,0.07281175988195243,0.005
donut_hole,runs_next,0.05,hc1,none,0,0,2091,1380,711,0.3101449275362319,0.5949367088607594,0.2719749410012027,0.05390760543731825,0.1663160343440589,0.37763384765834646,4.530344708264522e-07,0.001
donut_hole,runs_next,0.05,hc1,none,0,0,2050,1360,690,0.3125,0.5898550724637681,0.21323352845630728,0.05820079304792526,0.09915997408237376,0.3273070828302408,0.0002485431681051864,0.0025
donut_hole,runs_next,0.05,hc1,none,0,0,1963,1313,650,0.3092155369383092,0.5876923076923077,0.21307088175979638,0.06568663360966494,0.0843250798848531,0.34181668363473966,0.001179680939880079,0.005
donut_hole,runs_next,0.075,hc1,none,0,0,3758,2747,1011,0.2890425919184565,0.5895153313550939,0.26792163682824194,0.042460192134190194,0.18469966024522916,0.3511436134112547,2.7912783195915836e-10,0.001
donut_hole,runs_next,0.075,hc1,none,0,0,3717,2727,990,0.29006233956729005,0.5858585858585859,0.23232484334886364,0.04459758659968156,0.14491357361348778,0.3197361130842395,1.8949405200530123e-07,0.0025
donut_hole,runs_next,0.075,hc1,none,0,0,3630,2680,950,0.2880597014925373,0.5842105263157895,0.23416212698074182,0.04814829715752647,0.13979146455198993,0.3285327894094937,1.1541421329752666e-06,0.005
donut_hole,runs_next,0.1,hc1,none,0,0,5342,4056,1286,0.27933925049309666,0.5894245723172629,0.26960077610757355,0.03596478635148374,0.19910979485866542,0.34009175735648167,6.572520305780927e-14,0.001
